
time,gFx,gFy,gFz,Bx,By,Bz,Azimuth,Pitch,Roll,
15:11:18:812,0.0327,-0.0098,1.0009,47.3000,14.0500,-34.7750,281.9946,0.2463,0.5130,
15:11:18:853,0.0274,0.0026,0.9999,47.3000,14.0500,-34.7750,281.9946,0.2463,0.5130,
15:11:18:854,0.0274,0.0026,0.9999,47.3000,14.0500,-34.7750,278.7233,0.2745,0.5003,
15:11:18:880,0.0274,0.0026,0.9999,48.1125,9.6500,-35.0375,278.7233,0.2745,0.5003,
15:11:18:914,0.0413,-0.0024,1.0004,48.1125,9.6500,-35.0375,278.7233,0.2745,0.5003,
15:11:18:915,0.0413,-0.0024,1.0004,48.1125,9.6500,-35.0375,274.6973,0.3102,0.4743,
15:11:18:950,0.0413,-0.0024,1.0004,50.2125,5.5000,-35.7625,274.6973,0.3102,0.4743,
15:11:18:995,-0.0438,-0.0137,0.9989,50.2125,5.5000,-35.7625,274.6973,0.3102,0.4743,
15:11:18:996,-0.0438,-0.0137,0.9989,50.2125,5.5000,-35.7625,269.2407,0.3582,0.4396,
15:11:19:010,-0.0438,-0.0137,0.9989,51.4000,0.2375,-36.8125,269.2407,0.3582,0.4396,
15:11:19:056,-0.0249,-0.0043,0.9995,51.4000,0.2375,-36.8125,269.2407,0.3582,0.4396,
15:11:19:057,-0.0249,-0.0043,0.9995,51.4000,0.2375,-36.8125,265.7375,0.3861,0.4161,
15:11:19:081,-0.0249,-0.0043,0.9995,50.8250,-4.8125,-37.2375,265.7375,0.3861,0.4161,
15:11:19:118,0.0313,0.0299,1.0002,50.8250,-4.8125,-37.2375,265.7375,0.3861,0.4161,
15:11:19:120,0.0313,0.0299,1.0002,50.8250,-4.8125,-37.2375,265.1999,0.3851,0.4089,
15:11:19:152,0.0313,0.0299,1.0002,50.1375,-6.5250,-38.0875,265.1999,0.3851,0.4089,
15:11:19:179,-0.0013,-0.0093,0.9998,50.1375,-6.5250,-38.0875,265.1999,0.3851,0.4089,
15:11:19:181,-0.0013,-0.0093,0.9998,50.1375,-6.5250,-38.0875,265.2007,0.3864,0.4078,
15:11:19:212,-0.0013,-0.0093,0.9998,50.3250,-6.7000,-38.2250,265.2007,0.3864,0.4078,
15:11:19:258,-0.0013,-0.0093,0.9998,50.3250,-6.7000,-38.2250,265.2017,0.3871,0.4070,
15:11:19:260,0.0007,-0.0090,0.9993,50.3250,-6.7000,-38.2250,265.2017,0.3871,0.4070,
15:11:19:281,0.0007,-0.0090,0.9993,50.2375,-6.8750,-37.6875,265.2017,0.3871,0.4070,
15:11:19:319,0.0006,-0.0094,0.9997,50.2375,-6.8750,-37.6875,265.2017,0.3871,0.4070,
15:11:19:320,0.0006,-0.0094,0.9997,50.2375,-6.8750,-37.6875,265.2000,0.3865,0.4110,
15:11:19:350,0.0006,-0.0094,0.9997,50.3375,-6.5500,-36.7625,265.2000,0.3865,0.4110,
15:11:19:380,0.0009,-0.0082,0.9994,50.3375,-6.5500,-36.7625,265.2000,0.3865,0.4110,
15:11:19:380,0.0009,-0.0082,0.9994,50.3375,-6.5500,-36.7625,265.1986,0.3862,0.4112,
15:11:19:410,0.0009,-0.0082,0.9994,50.6250,-6.5125,-35.8000,265.1986,0.3862,0.4112,
15:11:19:461,0.0020,-0.0089,1.0008,50.6250,-6.5125,-35.8000,265.1986,0.3862,0.4112,
15:11:19:462,0.0020,-0.0089,1.0008,50.6250,-6.5125,-35.8000,265.1991,0.3854,0.4139,
15:11:19:481,0.0020,-0.0089,1.0008,50.7000,-6.6375,-36.4250,265.1991,0.3854,0.4139,
15:11:19:521,0.0005,-0.0090,1.0003,50.7000,-6.6375,-36.4250,265.1991,0.3854,0.4139,
15:11:19:522,0.0005,-0.0090,1.0003,50.7000,-6.6375,-36.4250,265.1906,0.3839,0.4134,
15:11:19:551,0.0005,-0.0090,1.0003,50.4125,-6.1625,-36.0500,265.1906,0.3839,0.4134,
15:11:19:581,0.0483,-0.0581,0.9998,50.4125,-6.1625,-36.0500,265.1906,0.3839,0.4134,
15:11:19:582,0.0483,-0.0581,0.9998,50.4125,-6.1625,-36.0500,262.1439,0.4085,0.3945,
15:11:19:611,0.0483,-0.0581,0.9998,50.1000,-10.2000,-36.9250,262.1439,0.4085,0.3945,
15:11:19:644,0.0392,0.0081,0.9997,50.1000,-10.2000,-36.9250,262.1439,0.4085,0.3945,
15:11:19:644,0.0392,0.0081,0.9997,50.1000,-10.2000,-36.9250,257.2552,0.4437,0.3575,
15:11:19:681,0.0392,0.0081,0.9997,48.7750,-18.5875,-38.5500,257.2552,0.4437,0.3575,
15:11:19:725,-0.0258,-0.0160,0.9996,48.7750,-18.5875,-38.5500,257.2552,0.4437,0.3575,
